CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT
warning_msg,,You've had a bug. Please report this on Discord with file:,"Vous venez de rencontrer un problème.
S'il vous plaît, signalez le sur Discord avec le fichier :","Você encontrou um problema. Por favor, reporte no Discord o arquivo em anexo:",不具合が発生しました。以下のファイルでディスコードに報告して下さい：,"Hubo un problema. Por favor, reporta esto en Discord con el siguiente archivo:",Ein Bug ist aufgetreten. Bitte melde diesen in unserem Discord mit der Datei:,"Hai riscontrato un bug. Per favore, segnalalo su Discord con il file:"
lb_alone,,You are all alone in the lobby :(,Vous êtes seul dans le salon :(,Você está sozinho(a) no lobby :(,ぼっち　(´・ω・`),No hay nadie en el salón :(,Du bist ganz alleine in der Lobby :<,Sei tutto solo nella lobby :(
lb_back,,Back to main menu,Revenir au menu principal,Voltar ao menu principal,メインメニューに戻る,Volver al menú principal,Zurück zum Hauptmenü,Torna al menù principale
lb_connecting,,Connecting...,Connexion en cours...,Conectando...,接続中...,Conectando,Verbinde...,Connessione...
lb_error_msg,,Error message received from the server:,Message d'erreur du serveur :,Mensagem de erro recebida do servidor:,サーバーから受信したエラーメッセージ：,Mensaje de error recibido del servidor:,Fehlernachricht vom Server erhalten.,Messaggio d'errore ricevuto dal server:
lb_header_board,,"Leaderboard
  Rank  Rating   Player","Classement
  Rang  Score   Joueur","Placar de Classificação
  Rank  Classificação  Jogador","ランキング
 順位 レート プレイヤー","Clasificación
 Rango  Puntaje Jugador","Rangliste
 Rang  Punkte  Spieler","Classifica
  Posizione  Punteggio   Giocatore"
lb_show_board,,Show Leaderboard,Afficher le classement,Mostrar Placar de Classificação,ランキングを表示,Mostrar Tabla de Puntuación,Rangliste anzeigen,Mostra la classifica
lb_login,,Logging in...,Identification...,Iniciando sessão ...,ログインしています...,Iniciando Sesión,Anmeldung...,Accesso in corso...
lb_login_timeout,,"Login for ranked matches timed out.
This server probably doesn't support ranking.


You may continue unranked.","Délai de connexion à la partie classée dépassé.
Ce serveur ne gère peut être pas les parties classées.


Vous pouvez continuer en non classé.","O tempo de acesso à partidas ranqueadas expirou.
Este servidor provavelmente não suporta partidas ranqueadas.


Você pode continuar em partidas não ranqueadas.","レートマッチのログインがタイムアウトしました。
このサーバーはおそらくレートランキングに対応していません。

ランクなしで続行できます。","Se ha agotado el tiempo de espera para iniciar sesión
Es posible que el servidor no soporte partidas clasificatorias.


Solamente puedes jugar partidas normales (unranked).","Die Anmeldung für das bewertete Spiel hat zu lange gedauert.
Der Server unterstützt vermutlich keine Rangliste.

Du kannst ohne Wertung weiterspielen.","L'accesso alle partite classificate è scaduto.
Questo server probabilmente non supporta le partite classificate. 


Puoi continuare a giocare in modalità non clasificata."
lb_new_id,,need a new user id,besoin d'un nouvel identifiant utilisateur,necessário novo ID de usuário,新しいユーザーIDが必要です,Se necesita un nuevo ID de usuario,Du benötigst eine neue Spieler-ID.,Necessario nuovo ID utente.
lb_received,,(wants to play with you :o),(vous invite à jouer :o),(quer jogar com você :o),（対戦を申し込まれました！（・o・））,(quiere jugar contigo :o),(möchte mit dir spielen),(vuole giocare con te :o)
lb_request,,(request sent),(demande envoyée),(solicitação enviada),（対戦申請中）,(petición enviada),(Anfrage gesendet),(richiesta inviata)
lb_select_player,,Select a player name to ask for a match.,Selectionnez un joueur avec qui jouer.,Selecione um nome de jogador para solicitar uma partida.,プレイヤー名を選択して対戦を申し込んで下さい。,Selecciona el nombre de un jugador para enviarle solicitud de partida.,"Wähle einen Spieler aus, um ihn herauszufordern.",Seleziona il nome di un giocatore con cui giocare.
lb_set_connect,,Setting up connection...,Préparation de la connexion...,Estabelecendo conexão...,接続しています…,Estableciendo conexión...,Verbindungsaufbau...,Stabilendo la connessione...
lb_hide_board,,Hide Leaderboard,Cacher le classement,Ocultar Placar de Classificação,ランキングを非表示,Ocultar Tabla de Puntuación,Rangliste verbergen,Nascondi la classifica
lb_spectate,,spectate,regarder,assistir,観戦する,espectar,zuschauen,Assisti
lb_used_name,,"Error: name is taken :<


If you had just left the server,
it may not have realized it yet, try joining again.


This can also happen if you have two
instances of Panel Attack open.
Press Swap or Back to continue.","Erreur : ce pseudo est déjà pris :<


Si vous venez de quitter le serveur,
il n'est peut être pas encore à jour, réessayez.


Cela peut aussi arriver si vous avez
lancé deux instances du jeu.


Appuyer sur Valider ou Retour pour continuer.","Erro: Apelido já utilizado :<


Se você acabou de sair do servidor,
talvez não tenha reparado, tente entrar novamente.


Isso também pode acontecer se você tiver duas
instâncias do Panel Attack abertas.
Pressione Trocar ou Voltar para continuar.","エラー：ユーザー名が使用中です ・へ・


ログアウトしたばかりの場合、
サーバーはまだ追いついていない可能性があります。
もう一度ログインしてみて下さい。


これは、
Panel Attackが同時に2回起動されている場合発生する可能性もあります。


入れ替えボタン、またはもどるボタンを押して下さい。","Error：El nombre ya está siendo usado :<


Si te fuiste del servidor,
puede que este no se haya dado cuenta, intenta unirte de nuevo.


Esto también puede ocurrir si tienes dos
Instancias abiertas del juego.
Pulsa ""Cambiar"" o ""Volver"" para continuar.","Fehler: Dieser Name wird bereits verwendet :<

Wenn du die Lobby gerade erst verlassen hast, könnte es sein, dass der Server dich noch nicht abgemeldet hat. Versuche es bitte erneut.

Das kann ebenfalls passieren, wenn du Panel Attack mehrfach geöffnet hast.


Drücke die Tausch-Taste (A/B) oder die Esc-Taste, um fortzufahren.","Errore: nome già in uso :<


Se hai appena lasciato il server,
questo potrebbe non averlo ancora realizzato, prova ad accedere di nuovo.


Questo può anche succedere se hai 
due istanze di Panel Attack aperte.
Premi ""Swap"" o Indietro per continuare."
lb_user_new,,"Welcome, new user: %1","Bienvenue, nouvel utilisateur : %1","Bem-vindo(a), novo usuário(a): %1",ようこそ、新しいユーザー：%1,Bienvenido: nuevo usuario %1,"Willkommen, neuer Spieler %1","Benvenuto, nuovo utente: %1"
lb_user_update,,"Welcome, your username has been updated. 

Old name:  ""%1""
New name:  ""%2""","Bienvenue, votre pseudo a été mis à jour.

Ancien:  ""%1""
Nouveau:  ""%2""","Bem-vindo(a), seu apelido foi atualizado.

Nome antigo: ""%1""
Novo nome: ""%2""","ようこそ、ユーザー名が更新されました。

以前のユーザー名： ""%1""
新しいユーザー名： ""%2""","Bienvenido, tu nombre de usuario fue actualizado.

Nombre antiguo: ""%1""
Nombre nuevo: ""%2""","Willkommen, dein Anzeigename wurde aktualisiert.

Alter Name: ""%1""
Neuer Name: ""%2""","Benvenuto, il tuo nome utente è stato aggiornato.

Vecchio nome: ""%1""
Nuovo nome: ""%2"""
lb_welcome_back,,"Welcome back, %1","Vous êtes de retour, %1","Bem-vindo(a) de volta, %1",おかえりなさい、%1,"Bienvenido de vuelta, %1","Willkommen zurück, %1","Bentornato, %1"
lb_you,,You,Vous,Você,あなた,Tú,Du,Tu
ld_puzzles,,Copying puzzles readme...,Copie du fichier readme des puzzles...,Copiando leia-me de quebra-cabeças...,パズルのREADMEをコピーしています...,"Copiando el archivo ""readme"" de puzzles",Kopiere README für Puzzles...,Copia dell'archivio readme dei puzzle...
ld_replay,,Loading replays...,Chargement des replays...,Carregando replays...,リプレイを読み込みしています…,Cargando repeticiones...,Lade Replays...,Caricamento dei replay...
ld_theme,,Loading theme...,Chargement du thème...,Carregando temas...,テーマを読み込みしています…,Cargando tema...,Lade Themes...,Caricamento dei temi...
ld_characters,,Preloading characters...,Préchargement des personnages...,Pré-carregando personagens...,キャラクターを読み込みしています…,Pre-cargando personajes...,Lade Charaktere...,Pre-caricamento dei personaggi...
ld_stages,,Preloading stages...,Préchargement des terrains...,Pré-carregando cenários...,ステージを読み込みしています…,Pre-cargando escenarios...,Lade Arenen...,Pre-caricamento degli scenari...
ld_panels,,Loading panels...,Chargement des blocs...,Carregando painéis...,パネルを読み込みしています…,Cargando paneles...,Lade Panels...,Caricamento delle tessere...
ld_analytics,,Loading analytics...,Chargement des statistiques...,Carregando estatísticas...,解析を読み込みしています…,Cargando estadísticas....,Lade Statistikmodul...,Caricamento delle statistiche...
mm_1_endless,,1P endless,1J infini,1J infinito,1P エンドレス,1J interminable,1P Endlos,1P infinito
mm_1_puzzle,,1P puzzle,1J puzzle,1J quebra-cabeça,1P パズル,1J Puzzle,1P Puzzle,1P puzzle
mm_1_time,,1P time attack,1J contre la montre,1J contra o tempo,1P スコアアタック,1J Contrareloj,1P Time Attack,1P a tempo
mm_1_training,Vs training mode,1P training,Formation 1P,treinamento 1P,1P トレーニング,entrenamiento 1P,1P Training,Allenamento 1P
mm_1_vs,,1P vs yourself,1J vs soi-même,1J vs você mesmo,1P じぶんとのたたかい,1J vs Tú,1P gegen dich selbst,1P vs te stesso
mm_2_vs_local,,2P vs local game,2J vs en local,2J vs jogo local,2P ローカルVS,2J vs partida local,2P lokal,2P vs in locale
mm_2_vs_online,,2P vs online %1,2J vs en ligne %1,2J vs online %1,2P オンラインVS %1,2J vs partida en línea %1,2P online %1,2P vs online %1
mm_2_vs,,2P vs,2J vs,2J vs,2P VS,2J vs,2SP vs,2P vs
mm_configure,,Configure input,Configurer les touches,Configurar teclas,入力コンフィグ,Configurar teclas,Tastenkonfiguration,Configura i tasti
mm_fullscreen,,Fullscreen %1,Plein Écran %1,Tela cheia %1,フルスクリーン %1,Pantalla completa %1,Vollbild %1,Schermo inteto 1%
mm_music_test,,Music test,Musique test,Teste de música,サウンドテスト,Prueba de música,Musik-Test,Testa la musica
mm_no_support_fullscreen,,Your graphics card doesn't support canvases for fullscreen,Votre carte graphique ne supporte pas le plein écran,Sua placa de vídeo não suporta tela cheia,お使いのグラフィックカードはフルスクリーンのキャンバスに対応していません,Tu tarjeta gráfica no soporta bordes en pantalla completa.,Deine Grafikkarte unterstützt keine Vollbildauflösungen.,La tua scheda grafica non supporta la modalità schermo intero.
mm_options,,Options,Options,Opções,オプション,Opciones,Optionen,Opzioni
mm_quit,,Quit,Quitter,Sair,終わる,Salir,Verlassen,Esci
mm_replay_of,,Replay of %1,Replay de %1,Replay de %1,%1のリプレイ,Ver repetición de %1,Replay von %1,Replay di 1%
mm_set_name,,Set name,Changer de pseudo,Trocar apelido,ユーザー名設定,Definir nombre,Name festlegen,Imposta il nome
nt_ver_err,,PLEASE DOWNLOAD the latest version of the game from #welcome-getting-started at the TetrisAttackOnline Discord http://discord.panelattack.com,S'IL VOUS PLAIT TELECHARGER la dernière version du jeu sur le discord TetrisAttackOnline http://discord.panelattack.comdans #welcome-getting-started,FAÇA O DOWNLOAD da versão mais recente do jogo em # Welcome-Getting-Started no TetrisAttackOnline Discord http://discord.panelattack.com,TetrisAttackOnline Discord http://discord.panelattack.comで、ゲームの最新バージョンを＃welcome-getting-startedからダウンロードして下さい。,POR FAVOR DESCARGA la última version del juego en #welcome-getting-started En el servidor de discord de TetrisAttackOnline:http://discord.panelattack.com,Bitte lade dir die neueste Version des Spiels aus dem #setup-Kanal des Tetris Attack Online Discord-Servers http://discord.panelattack.com oder von der Panel Attack Website http://panelattack.com herunter.,"Per favore, scarica l'ultima versione del gioco da #welcome-getting-started sul server Discord TetrisAttackOnline http://discord.panelattack.com"
nt_conn_timeout,,Failed to connect to the server.,Impossible de se connecter au serveur.,Falha ao conectar o servidor.,サーバーに接続が失敗しました。,Error al conectarse al servidor.,Es konnte keine Verbindung zum Server hergestellt werden.,Errore di connessione al server.
nt_msg_err,,"Network error, message could not be decoded: ""%1""","Erreur réseau, le message ne peut pas être décodé: ""%1""","Erro de conexão, a mensagem não pôde ser codificada: ""%1""","ネットワークエラー、メッセージのデコード失敗: ""%1""","Error de red, el mensaje no pudo ser decodificado: ""%1""","Netzwerkfehler: Die folgende Nachricht konnte nicht entschlüsselt werden: %1","Errore di network, il messaggio non può essere decodificato: ""%1"""
nt_player_err,,Server did not send number of players.,Le serveur n'a pas envoyé le nombre de joueurs.,O servidor não emitiu nº de jogadores.,サーバーからプレイヤー人数を受信しませんでした。,El servidor no envio la cantidad de jugadores.,Server schickte die Anzahl der Spieler nicht.,Il server non ha inviato il numero di giocatori.
op_general,Options: General,General,Général,Em geral,全般的,General,Allgemein,Generale
op_graphics,Options: Graphics,Graphics,Graphique,Gráficos,グラフィック,Gráficos,Grafik,Grafica
op_audio,Options: Audio,Audio,l'audio,Áudio.,オーディオ,Audio,Audio,Audio
op_debug,Options: Debug,Debug,Déboguer,Depurar,デバッグ,Depurar,Debuggen,Debug.
op_about,Options: About,About,Sur,Sobre,だいたい,Sobre,Über,Di
op_none,,none,rien,Nenhum,無し,Nada,keiner,Niente
op_on,,On,On,Ativ.,ON,On,An,On
op_off,,Off,Off,Desat.,OFF,Off,Aus,Off
op_all_keys,,Set all keys,Définir toutes les touches,Definir todas as teclas,すべてのキーを設定する,Definir todas las teclas,Alle Tasten festlegen,Imposta tutti i tasti
op_about_characters,,About custom characters,À propos des personnages personnalisés,Sobre personagens personalizados,カスタムキャラクターについて,Acerca de personajes personalizados,How to: Eigene Charaktere hinzufügen,A propostio dei personaggi personalizzabili
op_about_themes,,About custom themes,À propos des thèmes personnalisés,Sobre temas personalizados,カスタムテーマについて,Acerca de temas personalizados,How to: Eigene Themes entwickeln,A proposito dei temi personalizzabili
op_about_stages,,About custom stages,À propos des terrains personnalisés,Sobre cenários personalizados,カスタムステージについて,Acerca de escenarios personalizados,How to: Eigene Arenen erstellen,A proposito degli scenari personalizzabili
op_about_panels,,About custom panels,À propos des blocs personnalisés,Sobre painéis personalizados,カスタムパネルについて,Acerca de paneles personalizados,How to: Eigene Panels kreieren,A propostio delle tessere personalizzabili
op_analytics,,Enable analytics,Activer les statistiques,Ativar estatísticas,解析を有効にする,Habilitar estadísticas,Statistiken aktivieren,Attiva statistiche
op_copy_files,,"Hold on.  Copying an example folder to make this easier...


This may take a few seconds or maybe even a minute or two.


Don't worry if the window goes inactive or ""not responding""","Veuillez patientez, nous copions les fichiers exemples.


Cette opération peut prendre quelques secondes à 2 min.


La fenêtre peut devenir inactive et ne plus répondre.","Um momento. Criando uma pasta modelo para facilitar isso...


Isto pode levar alguns segundos ou talvez até um minuto ou dois.


Não se preocupe se a janela ficar inativa ou ""não está respondendo""","しばらくお待ち下さい。
分かりやすくするためにサンプルフォルダをコピーしています...


これには数秒、場合によっては1〜2分かかる可能性があります。


ウィンドウが非アクティブになったり、反応しなくなっても気にしないで下さい。","Un momento. Copiando la carpeta de ejemplo para hacerlo más facil...


Esto tomará algunos segundos o quizás un minuto o dos.


No te preocupes si la ventana se pone inactiva, se bloquea o ""No responde""","Warte einen Moment. Ein Beispielordner wird angelegt, um die Sache einfacher zu machen.

Dies könnte einige Sekunden dauern, möglicherweise aber auch eine bis zwei Minuten.

Wenn das Fenster inaktiv zu sein scheint oder als ""reagiert nicht"" angezeigt wird, ist dies bei dem Prozess völlig normal.","Un momento. Copia di una cartella d'esempio per rendere il tutto più facile...


Ci potrebbe volere qualche secondo, o forse anche un minuto o due.


Non preoccuparti se la finestra diventa inattiva o ""non risponde""."
op_countdown,,Ready countdown,Compte à rebours avant une partie,Contagem regressiva,READYカウントダウン,Cuenta regresiva lista,Ready Countdown,Pronto per il conto alla rovescia
op_debug,,Debug Mode,Mode Debug,Modo de Depuração,デバッグモード,Modo Depuración,Debug Modus,Modalità Debug
op_default_char,,Use default characters,Utiliser les personnages par défaut,Usar personagens padrão,デフォルトのキャラクターを使用,Usar personajes por defecto.,Standardcharaktere verwenden,Usa i personaggi di base
op_enter_name,,Enter your name:,Entrez votre pseudo :,Digite seu apelido:,ユーザー名を入力して下さい：,Ingresa tu nombre:,Gib deinen Benutzernamen ein:,Inserisci il tuo nome:
op_fps,,Show FPS,Afficher les FPS,Mostrar FPS,FPS表示,Mostrar FPS (cuadros por segundo),FPS anzeigen,Mostra FPS (frame al secondo)
op_language,,Language,Langue,Idioma,言語,Idioma,Sprache,Lingua
op_theme,,Theme,Thème,Tema,テーマ,Tema,Theme,Tema
op_scale,Setting that controls how much the game is scaled (resolution),Game Scale,Échelle de jeu,Escala de jogo,ゲームスケール,Escala de juego,Spielskala,Scala del gioco
op_scale_auto,The scale type that snaps to the best scale for the current window size,Automatic,Automatique,Automático,自動,Automático,Automatisch,Automatico
op_scale_fit,The scale type that fits the graphics as big as they can be to the window,Fit to Window,Ajuster à la fenêtre,Adequado à janela,ウィンドウにフィットします,Encaja en la ventana,An Fenster anpassen,Adatta alla finestra
op_scale_fixed,The scale type that uses a fixed scale value no matter what,Fixed Scale,Échelle fixe,Escala fixa,固定スケール,Escala fija,Feste Skala,Scala fissa
op_scale_fixed_value,The setting for the picked scale value in fixed mode,Fixed Scale,Échelle fixe,Escala fixa,固定スケール,Escala fija,Feste Skala,Scala fissa
op_ingame_infos,,Show informations during gameplay,Afficher les données pendant la partie,Mostrar informações durante partida,プレイ中情報表示,Mostrar información durante la partida,Informationen während des Spiels anzeigen,Mostra informazioni nel corso della partita
op_use_music_from,,Use music from,Utiliser les musiques des,Usar música de,使用BGM,Usar música desde,Musikauswahl,Usa musica da
op_only_stage,,Stage 100% | Character 0%,Terrain 100% | Personnage 0%,Cenário 100% | Personagens 0%,ステージ 100% | キャラクター  0%,Escenario 100% | Personaje 0%,Arena 100% | Charakter 0%,Scenario 100% | Personaggio 0%
op_often_stage,,Stage 75% | Character 25%,Terrain 75% | Personnage 25%,Cenário 75% | Personagens 25%,ステージ 75% | キャラクター  25%,Escenario 75% | Personaje 25%,Arena 75% | Charakter 25%,Scenario 75% | Personaggio 25%
op_stage_characters,,Stage 50% | Character 50%,Terrain 50% | Personnage 50%,Cenário 50% | Personagens 50%,ステージ 50% | キャラクター  50%,Escenario 50% | Personaje 50%,Arena 50% | Charakter 50%,Scenario 50% | Personaggio 50%
op_often_characters,,Stage 25% | Character 75%,Terrain 25% | Personnage 75%,Cenário 25% | Personagens 75%,ステージ 25% | キャラクター  75%,Escenario 25% | Personaje 75%,Arena 25% | Charakter 75%,Scenario 25% | Personaggio 75%
op_only_characters,,Stage 0% | Character 100%,Terrain 0% | Personnage 100%,Cenário 0% | Personagens 100%,ステージ 0% | キャラクター  100%,Escenario 0% | Personaje 100%,Arena 0% | Charakter 100%,Scenario 0% | Personaggio 100%
op_music_current,,Currently playing:,Music actuel :,Reproduzindo agora:,現在再生中：,Música actual:,Aktuelle Musik:,Musica in riproduzone:
op_music_delay,,Danger music change-back delay,Délai du changement de la musique en mode danger,Atraso na mudança de música de perigo,ピンチBGM切り替えディレイ,Retrasar cambio de melodía de peligro,Verzögerung für die Rückkehr aus der Gefahrenmusik,Ritardo del cambiamento della musica di pericolo
op_music_intro,,Playing the intro,Joue l'intro,Reproduzindo introdução,イントロ表示,Reproduciendo la intro,Intro wird abgespielt,Riproduci la intro
op_music_load,,Loading required sounds... (this may take a while),Chargement des sons nécessaires... (cela peut prendre un certain temps),Carregando sons necessários ... (isso pode demorar um pouco),必要なサウンドを読み込みしています...（多少時間がかかるかも）,Cargando los sonidos requeridos...(esto tomará un momento),Benötigte Sounds werden geladen... (das könnte einige Zeit dauern),Caricamento dei suoni necessari (ci potrebbe volere un po'...)
op_music_loop,,Playing main loop,Joue la boucle,Reproduzindo loop principal,メインループを再生しています,Reproduciendo bucle principal,Hauptthema wird abgespielt,Riproduzione del loop principale
op_music_nav,,"%1 and %2 to navigate songs
%3 to leave","%1 et %2 pour naviguer entre les musiques
%3 pour quitter","%1 e %2 para navegar pelas músicas
%3 para sair","%1と%2で曲を選択
%3で戻る","%1 y %2 para navegar entre melodías
%3 para salir","Nutze %1 und %2 um zwischen Liedern zu navigieren und %3, um das Menü zu verlassen","%1 e %2 per navigare tra le canzoni
%3 per uscire"
op_music_play,Play music button in Sound Test,Play,Play,Play,Play,Play,Play,Play
op_music_stop,Stop music button in Sound Test,Stop,Arrêter,Pare,やめる,Detener,Stoppen,Fermare
op_music_type,Select music type in Sound Test,Music type,La musique,Música,音楽,Música,Musik,Musica
op_music_sfx,Sound Effect in Sound Test,SFX,Sonner,Som,?,Sonar,Klang,Suono
op_panels,,Panels set,Choisir les blocs,Definir painéis,パネルセット,Set de paneles,Panelset,Scelta delle tessere
op_reload_analytics,,reloading analytics...,rechargement des statistiques...,recarregando estatísticas...,解析を再読み込みしています...,Recargando estadísticas...,Statistiken werden neugeladen...,Ricaricamento delle statistiche...
op_reload_characters,,reloading characters...,rechargement des personnages...,recarregando personagens...,キャラクターを再読み込みしています...,Recargando personajes...,Charaktere werden neugeladen...,Ricaricamento dei personaggi...
op_reload_stages,,reloading stages...,rechargement des terrains...,recarregando cenários...,ステージを再読み込みしています…,recargando escenarios...,Arenen werden neugeladen...,Ricarimento degli scenari...
op_reload_theme,,reloading theme...,rechargement du thème...,recarregando tema...,テーマを再読み込みしています…,recargando temas...,Themen werden neugeladen...,Ricaricamento dei temi...
op_replay_public,,Save replays publicly,Sauvegarder les replays publiquement,Salvar replays publicamente,リプレイを,Grabar repeticiones públicamente,Replays öffentlich abspeichern,Salva i replay pubblicamente
op_replay_public_no,,No,Non,Não,公開しない,No,Nein,No
op_replay_public_anonymously,,Anonymously,Anonymement,Anônimo,匿名で公開する,Anónimamente,Anonym,Anonimamente
op_replay_public_with_name,,With my name,Avec mon pseudo,Com meu apelido,ユーザー名付きで公開する,Con mi nombre,Mit meinem Benutzernamen,Con il mio nome
op_save,,writing config to file...,sauvegarde de la configuration...,salvando configuração no arquivo...,ファイルに設定を書き込んでいます...,Escribiendo configuración al archivo...,Speichere Konfiguration in Datei...,Salvataggio delle configurazioni su file...
op_sonds,unused...,Sounds theme,Thème des sons,Tema dos sons,サウンドセット,Set de sonidos,Soundset,Tema dei suoni
op_vol,,Master Volume,Volume Global,Vol. principal,マスターボリューム,Volumen principal,Lautstärke,Volume principale
op_vol_music,,Music Volume,Volume Musique,Vol. da música,BGMボリューム,Volumen de música,Lautstärke der Musik,Volume della musica
op_vol_sfx,,SFX Volume,Volume Effets,Vol. Efeitos Esp.,SFXボリューム,Volumen de sonido,Lautstärke der Soundeffekte,Volume SFX
op_input_delay,,Key repeat delay (offline only),Délai de répétition des touches,Atraso na repetição das teclas (apenas offline),DAS 設定（オフラインのみ）,Retraso de repetición de las teclas (Solo fuera de línea),Verzögerung für die Tastenwiederholung bei gedrückt halten (nur offline),Ritardo della ripetizione dell'input (solo offline)
op_portrait_darkness,Options: darkness of the portraits in game,Portrait Darkness,Portrait Obscurité,Claridade de Retratos,背景の暗さ,Retrato Oscuridad,Helligkeit des Charakterporträts während des Spiels,Oscurità del ritratto
op_popfx,Options: Whether pop effects should show,Pop Effects,Effets Pop,Efeitos de Explosão,パネル消しエフェクト,efectos pop,Popeffekte,Effetti pop
op_renderTelegraph,Options: Whether the telegraph above the stack should show,Show Telegraph,Montrer le télégraphe,Mostrar telégrafo,テレグラフを表示,Mostrar telégrafo,Telegraph zeigen,Mostra telegrafo
op_renderAttacks,Options: Whether the telegraph attack animations should show,Show Attacks,Montrer des attaques,Mostrar ataques,攻撃を示す,Mostrar ataques,Angriffe anzeigen,Mostra attacchi
op_cardfx_scale,Options: how far away the popfx particles converge onto your combo/chain before it pops,Attack Particle Distance,Distance des particules d'attaque,Alcance de Partículas de Ataque,攻撃パーティクル発生距離,Distancia de partículas de ataque,Skalierung der Popeffekte bei Kombos und Ketten,Distanza delle particelle di attacco
opponent_level,,Opponent's level,Niveau adverse,Nível do oponente,相手のレベル,Nivel del oponente,Level des Gegners,Livello dell'avversario
pl_pause_help,,Press Start again to resume,Appuyer sur Start pour continuer,Pressione Começar novamente para continuar,STARTで再開,"Presiona ""Start"" para resumir","Drücke Start um fortzufahren","Premi ""Start"" di nuovo per riprendere"
pl_1_win,,P1 wins ^^,J1 gagne ^^,J1 vence ^^,1Pの勝ち！ ＾＾,J1 gana ^^,Spieler 1 gewinnt,P1 vince ^^
pl_2_win,,P2 wins ^^,J2 gagne ^^,J2 vence ^^,2Pの勝ち！ ＾＾,J2 gana ^^,Spieler 2 gewinnt,P2 vince ^^
pl_cleared,,cleared: %1,détruit : %1,destruido: %1,消したパネル：%1個,despejado: %1,Cleared: %1,Completato: %1
pl_frame,,Frame: %1,Frame : %1,Frame: %1,フレーム：%1,Cuadro: %1,Frame: %1,Frame: %1
pl_game_start,,Game is starting!,La partie va commencer !,A partida está começando!,ゲームが始まります！,¡La partida va a comenzar!,Das Spiel beginnt!,Il gioco sta per inziare!
pl_gameover,,Game Over,Terminé,Fim de jogo,ゲームオーバー,Fin del juego,Game Over,Gioco finito
